File Scope: allowed-amounts | Plan Name: HSA 2700 | Sponsor EIN: 272254206 | No applicable data
File Scope: allowed-amounts | Plan Name: PPO Plan | Sponsor EIN: 680140361 | https://serifhealth.com/allowed-amounts-files/2024-01-20_RH_PPO-Plan_allowed-amounts.json
File Scope: allowed-amounts | Plan Name: HSA 2700 Family | Sponsor EIN: 272254206 | No applicable data
File Scope: allowed-amounts | Plan Name: HSA | Sponsor EIN: 263607129 | https://serifhealth.com/allowed-amounts-files/2024-01-20_Pinterest_HSA_allowed-amounts.json
File Scope: allowed-amounts | Plan Name: BCBS $3,500 HDHP | Sponsor EIN: 815294275 | No applicable data
File Scope: allowed-amounts | Plan Name: HDHP | Sponsor EIN: 770422528 | https://serifhealth.com/allowed-amounts-files/2024-01-20_Juniper-Networks_HDHP_allowed-amounts.json
File Scope: allowed-amounts | Plan Name: PPO | Sponsor EIN: 941237296 | https://serifhealth.com/allowed-amounts-files/2024-01-20_Driscolls_PPO_allowed-amounts.json
File Scope: allowed-amounts | Plan Name: Premium | Sponsor EIN: 134012728 | No applicable data
File Scope: allowed-amounts | Plan Name: EPO (In-Network Only) | Sponsor EIN: 452647441 | https://serifhealth.com/allowed-amounts-files/2024-01-20_Uber_EPO-In-Network-Only_allowed-amounts.json
File Scope: allowed-amounts | Plan Name: PPO | Sponsor EIN: 464364776 | https://serifhealth.com/allowed-amounts-files/2024-01-20_Robinhood_PPO_allowed-amounts.json
File Scope: allowed-amounts | Plan Name: PPO 3000 | Sponsor EIN: 954233663 | No applicable data
File Scope: allowed-amounts | Plan Name: High Deductible Health Plan with HSA | Sponsor EIN: 611648780 | https://serifhealth.com/allowed-amounts-files/2024-01-20_Zoom_High-Deductible-Health-Plan-with-HSA_allowed-amounts.json
File Scope: allowed-amounts | Plan Name: HSA 2850 Deductible | Sponsor EIN: 202069997 | No applicable data
File Scope: allowed-amounts | Plan Name: Bronze PPO | Sponsor EIN: 911255756 | No applicable data
File Scope: allowed-amounts | Plan Name: Premium EPO | Sponsor EIN: 830344693 | No applicable data
File Scope: allowed-amounts | Plan Name: CDHP | Sponsor EIN: 593797948 | https://serifhealth.com/allowed-amounts-files/2024-01-20_Atlassian-US-Inc_CDHP_allowed-amounts.json
File Scope: allowed-amounts | Plan Name: PPO | Sponsor EIN: 208809830 | https://serifhealth.com/allowed-amounts-files/2024-01-20_Lyft_PPO_allowed-amounts.json
File Scope: allowed-amounts | Plan Name: PPO Smart Saver | Sponsor EIN: 261081729 | No applicable data
File Scope: allowed-amounts | Plan Name: Alaska Bronze PPO | Sponsor EIN: 911255756 | No applicable data
File Scope: allowed-amounts | Plan Name: HDHP 3000 | Sponsor EIN: 262922329 | No applicable data
File Scope: allowed-amounts | Plan Name: HSA 4500 | Sponsor EIN: 330730794 | No applicable data
